Index,Folder,Filename,Image Size,BBox,BBox_Face,Categorical_Labels,Continuous_Labels,Gender,Age
0,mscoco/images,COCO_val2014_000000562243.jpg,"[640, 640]","[86, 58, 564, 628]","[188, 61, 318, 233]","['Disconnection', 'Doubt/Confusion']","[5, 3, 9]",Male,Adult
1,mscoco/images,COCO_train2014_000000288841.jpg,"[640, 480]","[485, 149, 605, 473]","[57, 15, 89, 55]",['Anticipation'],"[6, 4, 7]",Male,Adult
2,mscoco/images,COCO_val2014_000000558171.jpg,"[640, 480]","[305, 92, 461, 465]","[70, 25, 103, 65]","['Engagement', 'Excitement', 'Happiness']","[7, 8, 8]",Male,Teenager
3,mscoco/images,COCO_train2014_000000369575.jpg,"[480, 640]","[221, 63, 448, 372]","[7, 28, 65, 96]","['Aversion', 'Pleasure']","[8, 9, 8]",Male,Kid
4,mscoco/images,COCO_train2014_000000462955.jpg,"[640, 478]","[42, 32, 413, 472]","[95, 23, 185, 145]","['Anticipation', 'Engagement', 'Peace']","[3, 6, 8]",Male,Adult
5,mscoco/images,COCO_train2014_000000006590.jpg,"[640, 480]","[188, 109, 381, 382]","[98, 18, 156, 88]",['Engagement'],"[7, 4, 7]",Female,Kid
6,emodb_small/images,ebpsbjqzfhd7efh00i.jpg,"[471, 623]","[47, 161, 471, 468]","[321, 27, 399, 136]","['Pain', 'Sadness', 'Sensitivity', 'Suffering']","[2, 7, 4]",Female,Kid
7,emodb_small/images,ebpsbjqzfhd7efh00i.jpg,"[471, 623]","[177, 11, 471, 471]","[188, 176, 268, 285]","['Sadness', 'Suffering', 'Sympathy']","[2, 3, 4]",Male,Adult
8,emodb_small/images,ebpsbjqzfhd7efh00i.jpg,"[471, 623]","[200, 182, 344, 471]","[67, 34, 141, 136]","['Fear', 'Sadness', 'Suffering']","[2, 4, 2]",Female,Kid
9,mscoco/images,COCO_val2014_000000547457.jpg,"[640, 425]","[157, 43, 470, 420]","[69, 40, 112, 102]","['Anticipation', 'Engagement', 'Excitement', 'Happiness']","[8, 4, 7]",Female,Adult
10,mscoco/images,COCO_val2014_000000122997.jpg,"[640, 425]","[246, 63, 458, 380]","[105, 33, 148, 89]",['Engagement'],"[5, 3, 8]",Female,Adult
11,mscoco/images,COCO_val2014_000000122997.jpg,"[640, 425]","[141, 47, 348, 343]","[106, 42, 145, 84]","['Disconnection', 'Engagement', 'Peace']","[6, 4, 7]",Male,Adult
12,framesdb/images,frame_dkwhvgj0m40g01gs.jpg,"[634, 641]","[148, 8, 471, 616]","[83, 34, 127, 102]",['Happiness'],"[5, 4, 9]",Male,Adult
13,mscoco/images,COCO_val2014_000000121006.jpg,"[640, 455]","[182, 83, 386, 445]","[29, 23, 76, 87]","['Confidence', 'Happiness']","[8, 6, 6]",Male,Teenager
14,mscoco/images,COCO_train2014_000000140322.jpg,"[640, 512]","[158, 16, 378, 304]","[69, 56, 173, 186]",['Happiness'],"[6, 7, 3]",Female,Kid
15,mscoco/images,COCO_train2014_000000140322.jpg,"[640, 512]","[83, 146, 608, 511]","[323, 111, 495, 330]","['Anticipation', 'Engagement', 'Happiness']","[6, 4, 3]",Male,Kid
16,mscoco/images,COCO_train2014_000000497759.jpg,"[500, 500]","[6, 71, 350, 488]","[178, 91, 308, 242]",['Disquietment'],"[5, 7, 7]",Male,Adult
17,mscoco/images,COCO_train2014_000000326320.jpg,"[640, 427]","[381, 92, 493, 388]","[49, 12, 74, 42]",['Yearning'],"[6, 4, 7]",Male,Adult
18,mscoco/images,COCO_train2014_000000253959.jpg,"[588, 640]","[73, 276, 276, 493]","[54, 29, 133, 135]","['Happiness', 'Peace']","[7, 8, 2]",Female,Teenager
19,mscoco/images,COCO_train2014_000000094268.jpg,"[640, 427]","[371, 41, 468, 349]","[42, 9, 67, 40]",['Engagement'],"[6, 6, 2]",Male,Adult
20,mscoco/images,COCO_train2014_000000094268.jpg,"[640, 427]","[78, 63, 279, 401]","[93, 14, 123, 54]","['Confidence', 'Engagement', 'Happiness']","[5, 7, 6]",Male,Adult
21,mscoco/images,COCO_val2014_000000231589.jpg,"[640, 425]","[297, 70, 440, 375]","[4, 35, 59, 103]","['Engagement', 'Excitement', 'Happiness']","[8, 8, 8]",Male,Kid
22,mscoco/images,COCO_val2014_000000461715.jpg,"[640, 480]","[90, 27, 300, 355]","[102, 25, 152, 109]","['Engagement', 'Peace']","[7, 4, 7]",Female,Adult
23,mscoco/images,COCO_train2014_000000055276.jpg,"[640, 480]","[299, 58, 517, 469]","[117, 14, 185, 101]",['Engagement'],"[7, 6, 7]",Male,Adult
24,mscoco/images,COCO_val2014_000000568202.jpg,"[612, 612]","[108, 124, 286, 328]","[55, 26, 110, 99]","['Engagement', 'Happiness']","[4, 4, 4]",Female,Adult
25,mscoco/images,COCO_train2014_000000088609.jpg,"[640, 480]","[308, 28, 574, 441]","[86, 42, 184, 171]",['Happiness'],"[7, 3, 7]",Male,Kid
26,mscoco/images,COCO_train2014_000000528657.jpg,"[427, 640]","[191, 84, 342, 293]","[21, 34, 108, 146]",['Engagement'],"[4, 6, 9]",Male,Adult
27,framesdb/images,frame_b1v3bzyq8s4ucvy1.jpg,"[5477, 3651]","[76, 760, 1484, 3396]","[448, 302, 745, 752]","['Anticipation', 'Engagement', 'Happiness']","[5, 7, 8]",Female,Adult
28,framesdb/images,frame_b1v3bzyq8s4ucvy1.jpg,"[5477, 3651]","[3229, 700, 4586, 2503]","[577, 160, 875, 565]","['Anticipation', 'Engagement', 'Happiness']","[7, 4, 6]",Male,Adult
29,framesdb/images,frame_b1v3bzyq8s4ucvy1.jpg,"[5477, 3651]","[4051, 981, 5476, 3579]","[505, 330, 777, 732]",['Engagement'],"[7, 6, 7]",Male,Adult
30,mscoco/images,COCO_train2014_000000379034.jpg,"[640, 426]","[384, 114, 547, 341]","[35, 30, 84, 91]","['Anticipation', 'Engagement', 'Esteem']","[5, 4, 7]",Male,Adult
31,mscoco/images,COCO_val2014_000000107239.jpg,"[500, 375]","[178, 39, 435, 227]","[69, 14, 131, 100]","['Affection', 'Anticipation', 'Engagement', 'Excitement', 'Happiness', 'Pleasure']","[7, 6, 7]",Female,Teenager
32,mscoco/images,COCO_train2014_000000322698.jpg,"[640, 427]","[167, 165, 399, 421]","[134, 10, 160, 46]",['Anticipation'],"[6, 6, 8]",Male,Adult
33,mscoco/images,COCO_train2014_000000563727.jpg,"[640, 426]","[90, 67, 619, 421]","[270, 34, 376, 179]",['Engagement'],"[7, 6, 7]",Male,Adult
34,emodb_small/images,gs84txnh5el02zkbp9.jpg,"[225, 225]","[26, 3, 202, 225]","[64, 11, 116, 80]","['Anger', 'Aversion', 'Disapproval']","[3, 7, 6]",Male,Adult
35,mscoco/images,COCO_train2014_000000432683.jpg,"[640, 480]","[52, 84, 226, 479]","[64, 26, 107, 81]",['Confidence'],"[5, 7, 8]",Male,Adult
36,mscoco/images,COCO_train2014_000000137029.jpg,"[640, 471]","[137, 6, 546, 462]","[104, 22, 222, 188]",['Excitement'],"[7, 9, 7]",Male,Adult
37,mscoco/images,COCO_train2014_000000274108.jpg,"[640, 480]","[196, 84, 382, 469]","[62, 26, 161, 143]",['Sensitivity'],"[6, 2, 5]",Male,Kid
38,mscoco/images,COCO_train2014_000000149755.jpg,"[640, 427]","[105, 7, 611, 422]","[195, 118, 284, 241]","['Happiness', 'Peace']","[4, 6, 4]",Female,Adult
39,mscoco/images,COCO_train2014_000000159225.jpg,"[640, 427]","[24, 33, 207, 362]","[68, 23, 103, 65]",['Yearning'],"[6, 6, 6]",Female,Adult
40,framesdb/images,frame_j44zhny87dief9zp.jpg,"[500, 500]","[6, 99, 144, 486]","[74, 50, 113, 100]",['Happiness'],"[5, 3, 4]",Male,Adult
41,framesdb/images,frame_j44zhny87dief9zp.jpg,"[500, 500]","[57, 91, 354, 490]","[208, 30, 244, 73]","['Engagement', 'Peace']","[6, 3, 4]",Male,Adult
42,framesdb/images,frame_kpokdxsxymvz4qk3.jpg,"[960, 500]","[585, 1, 959, 499]","[120, 24, 282, 282]",['Engagement'],"[5, 9, 4]",Male,Adult
43,mscoco/images,COCO_train2014_000000524651.jpg,"[640, 480]","[144, 147, 239, 430]","[34, 16, 61, 47]",['Happiness'],"[8, 7, 7]",Female,Adult
44,framesdb/images,frame_3jwi6nrvfphi4lp6.jpg,"[730, 433]","[149, 83, 283, 418]","[60, 5, 86, 37]",['Engagement'],"[8, 2, 7]",Male,Adult
45,mscoco/images,COCO_train2014_000000053608.jpg,"[640, 452]","[192, 30, 394, 350]","[95, 41, 153, 112]",['Engagement'],"[7, 7, 8]",Male,Adult
46,mscoco/images,COCO_train2014_000000274642.jpg,"[427, 640]","[94, 16, 402, 396]","[150, 47, 225, 145]",['Sensitivity'],"[10, 6, 8]",Female,Adult
47,framesdb/images,frame_hzo04gqf487tm689.jpg,"[370, 556]","[64, 17, 338, 262]","[76, 17, 111, 63]","['Happiness', 'Peace']","[5, 4, 9]",Male,Adult
48,mscoco/images,COCO_val2014_000000576031.jpg,"[640, 480]","[224, 78, 403, 468]","[94, 40, 129, 80]","['Anticipation', 'Engagement']","[6, 10, 8]",Male,Adult
49,framesdb/images,frame_8bcjgl84a80cguy5.jpg,"[675, 457]","[456, 86, 622, 456]","[7, 21, 56, 82]","['Anticipation', 'Doubt/Confusion', 'Engagement']","[5, 5, 6]",Female,Adult
50,framesdb/images,frame_8bcjgl84a80cguy5.jpg,"[675, 457]","[144, 104, 296, 320]","[35, 28, 72, 66]",['Disconnection'],"[7, 4, 7]",Female,Adult
51,framesdb/images,frame_8bcjgl84a80cguy5.jpg,"[675, 457]","[279, 4, 475, 345]","[88, 27, 144, 105]","['Anticipation', 'Happiness']","[5, 7, 6]",Male,Adult
52,mscoco/images,COCO_train2014_000000261879.jpg,"[640, 427]","[34, 77, 407, 352]","[254, 15, 310, 87]",['Engagement'],"[7, 4, 7]",Male,Adult
53,mscoco/images,COCO_train2014_000000167028.jpg,"[640, 480]","[40, 96, 283, 341]","[93, 41, 149, 116]","['Doubt/Confusion', 'Engagement']","[4, 4, 5]",Female,Adult
54,emodb_small/images,h705hnfsvdwf6mh2xw.jpg,"[300, 300]","[2, 39, 273, 300]","[93, 11, 135, 73]","['Anger', 'Annoyance']","[2, 8, 9]",Female,Kid
55,framesdb/images,frame_88u3mzsacaic5583.jpg,"[2586, 3630]","[754, 2357, 1700, 3347]","[660, 62, 854, 267]",['Engagement'],"[6, 6, 6]",Male,Adult
56,framesdb/images,frame_hdepjixs67t3l4zo.jpg,"[420, 316]","[210, 87, 396, 311]","[48, 16, 86, 64]","['Excitement', 'Happiness']","[8, 6, 6]",Female,Adult
57,mscoco/images,COCO_val2014_000000110392.jpg,"[640, 426]","[38, 48, 385, 420]","[185, 27, 262, 131]",['Engagement'],"[7, 7, 9]",Female,Adult
58,emodb_small/images,4le1bbiky5djx0iuln.jpg,"[720, 1280]","[112, 230, 382, 714]","[112, 12, 164, 84]","['Confidence', 'Esteem', 'Happiness']","[6, 6, 8]",Male,Adult
59,mscoco/images,COCO_train2014_000000377160.jpg,"[500, 375]","[88, 14, 216, 231]","[32, 39, 115, 146]",['Happiness'],"[8, 6, 7]",Female,Teenager
60,mscoco/images,COCO_train2014_000000252801.jpg,"[640, 480]","[175, 64, 471, 471]","[115, 48, 187, 137]",['Anticipation'],"[6, 6, 7]",Male,Adult
61,mscoco/images,COCO_val2014_000000108758.jpg,"[640, 480]","[59, 193, 262, 453]","[32, 54, 126, 167]",['Confidence'],"[7, 5, 7]",Male,Adult
62,mscoco/images,COCO_train2014_000000107072.jpg,"[640, 458]","[166, 47, 293, 413]","[45, 26, 84, 72]",['Anticipation'],"[7, 6, 6]",Male,Adult
63,framesdb/images,frame_7qztqnocqk4d67lc.jpg,"[1100, 733]","[405, 19, 674, 702]","[170, 34, 237, 119]","['Anticipation', 'Confidence', 'Happiness']","[9, 10, 10]",Male,Adult
64,framesdb/images,frame_7qztqnocqk4d67lc.jpg,"[1100, 733]","[778, 12, 918, 424]","[46, 45, 81, 88]","['Anticipation', 'Doubt/Confusion', 'Engagement']","[5, 8, 6]",Male,Adult
65,mscoco/images,COCO_train2014_000000331832.jpg,"[640, 480]","[47, 49, 245, 282]","[103, 41, 175, 119]","['Engagement', 'Peace']","[6, 8, 9]",Male,Adult
66,framesdb/images,frame_6x5lpc7dh3yvrnc3.jpg,"[760, 512]","[304, 115, 463, 424]","[72, 35, 103, 67]","['Confidence', 'Engagement', 'Excitement', 'Yearning']","[8, 4, 7]",Male,Adult
67,framesdb/images,frame_6x5lpc7dh3yvrnc3.jpg,"[760, 512]","[0, 348, 189, 511]","[65, 25, 101, 69]","['Confidence', 'Engagement', 'Pleasure']","[7, 6, 3]",Male,Adult
68,framesdb/images,frame_jsnriwfd0ffphs5g.jpg,"[1059, 746]","[291, 383, 393, 532]","[48, 32, 83, 79]","['Affection', 'Happiness', 'Pleasure']","[4, 3, 4]",Male,Adult
69,framesdb/images,frame_jsnriwfd0ffphs5g.jpg,"[1059, 746]","[385, 380, 515, 512]","[75, 3, 107, 49]",['Engagement'],"[6, 8, 8]",Female,Adult
70,framesdb/images,frame_63mtckpdjfc0y9q8.jpg,"[4000, 2508]","[2612, 503, 3188, 2095]","[268, 53, 400, 239]","['Anticipation', 'Engagement']","[7, 7, 6]",Male,Adult
71,framesdb/images,frame_63mtckpdjfc0y9q8.jpg,"[4000, 2508]","[1900, 301, 2528, 2145]","[383, 180, 494, 346]","['Confidence', 'Engagement']","[6, 5, 6]",Male,Adult
